  # Network Traffic Monitor Sample Log
  # Format: src_ip,dst_ip,src_port,dst_port,protocol,flags
  172.16.0.77,10.0.0.2,50008,80,TCP,SYN
  172.16.0.77,10.0.0.2,50009,80,TCP,SYN
  172.16.0.77,10.0.0.2,50010,80,TCP,SYN
  172.16.0.77,10.0.0.2,50011,80,TCP,SYN
  172.16.0.77,10.0.0.2,50012,80,TCP,SYN
  172.16.0.77,10.0.0.2,50013,80,TCP,SYN
  172.16.0.77,10.0.0.2,50014,80,TCP,SYN
  172.16.0.77,10.0.0.2,50015,80,TCP,SYN
  172.16.0.77,10.0.0.2,50016,80,TCP,SYN
  172.16.0.77,10.0.0.2,50017,80,TCP,SYN
  172.16.0.77,10.0.0.2,50018,80,TCP,SYN
  172.16.0.77,10.0.0.2,50019,80,TCP,SYN
  172.16.0.77,10.0.0.2,50020,80,TCP,SYN
  172.16.0.77,10.0.0.2,50021,80,TCP,SYN
  172.16.0.77,10.0.0.2,50022,80,TCP,SYN
  172.16.0.77,10.0.0.2,50023,80,TCP,SYN
  172.16.0.77,10.0.0.2,50024,80,TCP,SYN
  172.16.0.77,10.0.0.2,50025,80,TCP,SYN
  172.16.0.77,10.0.0.2,50026,80,TCP,SYN
  172.16.0.77,10.0.0.2,50027,80,TCP,SYN
  172.16.0.77,10.0.0.2,50028,80,TCP,SYN
  172.16.0.77,10.0.0.2,50029,80,TCP,SYN
  172.16.0.77,10.0.0.2,50030,80,TCP,SYN
  172.16.0.77,10.0.0.2,50031,80,TCP,SYN
  172.16.0.77,10.0.0.2,50032,80,TCP,SYN
  172.16.0.77,10.0.0.2,50033,80,TCP,SYN
  172.16.0.77,10.0.0.2,50034,80,TCP,SYN
  172.16.0.77,10.0.0.2,50035,80,TCP,SYN
  172.16.0.77,10.0.0.2,50036,80,TCP,SYN
  172.16.0.77,10.0.0.2,50037,80,TCP,SYN
  172.16.0.77,10.0.0.2,50038,80,TCP,SYN
  172.16.0.77,10.0.0.2,50039,80,TCP,SYN
  172.16.0.77,10.0.0.2,50040,80,TCP,SYN
  172.16.0.77,10.0.0.2,50041,80,TCP,SYN
  172.16.0.77,10.0.0.2,50042,80,TCP,SYN
  172.16.0.77,10.0.0.2,50043,80,TCP,SYN
  172.16.0.77,10.0.0.2,50044,80,TCP,SYN
  172.16.0.77,10.0.0.2,50045,80,TCP,SYN
  172.16.0.77,10.0.0.2,50046,80,TCP,SYN
  172.16.0.77,10.0.0.2,50047,80,TCP,SYN
  172.16.0.77,10.0.0.2,50048,80,TCP,SYN
  172.16.0.77,10.0.0.2,50049,80,TCP,SYN
  172.16.0.77,10.0.0.2,50050,80,TCP,SYN
  172.16.0.77,10.0.0.2,50051,80,TCP,SYN
  172.16.0.77,10.0.0.2,50052,80,TCP,SYN
  172.16.0.77,10.0.0.2,50053,80,TCP,SYN
  172.16.0.77,10.0.0.2,50054,80,TCP,SYN
  172.16.0.77,10.0.0.2,50055,80,TCP,SYN
  172.16.0.77,10.0.0.2,50056,80,TCP,SYN
  172.16.0.77,10.0.0.2,50057,80,TCP,SYN
  172.16.0.77,10.0.0.2,50058,80,TCP,SYN
  172.16.0.77,10.0.0.2,50059,80,TCP,SYN
  172.16.0.77,10.0.0.2,50060,80,TCP,SYN
  172.16.0.77,10.0.0.2,50061,80,TCP,SYN
  172.16.0.77,10.0.0.2,50062,80,TCP,SYN
  172.16.0.77,10.0.0.2,50063,80,TCP,SYN
  172.16.0.77,10.0.0.2,50064,80,TCP,SYN
  172.16.0.77,10.0.0.2,50065,80,TCP,SYN
  172.16.0.77,10.0.0.2,50066,80,TCP,SYN
  172.16.0.77,10.0.0.2,50067,80,TCP,SYN
  172.16.0.77,10.0.0.2,50068,80,TCP,SYN
  172.16.0.77,10.0.0.2,50069,80,TCP,SYN
  172.16.0.77,10.0.0.2,50070,80,TCP,SYN
  172.16.0.77,10.0.0.2,50071,80,TCP,SYN
  172.16.0.77,10.0.0.2,50072,80,TCP,SYN
  172.16.0.77,10.0.0.2,50073,80,TCP,SYN
  172.16.0.77,10.0.0.2,50074,80,TCP,SYN
  172.16.0.77,10.0.0.2,50075,80,TCP,SYN
  172.16.0.77,10.0.0.2,50076,80,TCP,SYN
  172.16.0.77,10.0.0.2,50077,80,TCP,SYN
  172.16.0.77,10.0.0.2,50078,80,TCP,SYN
  172.16.0.77,10.0.0.2,50079,80,TCP,SYN
  172.16.0.77,10.0.0.2,50080,80,TCP,SYN
  172.16.0.77,10.0.0.2,50081,80,TCP,SYN
  172.16.0.77,10.0.0.2,50082,80,TCP,SYN
  172.16.0.77,10.0.0.2,50083,80,TCP,SYN
  172.16.0.77,10.0.0.2,50084,80,TCP,SYN
  172.16.0.77,10.0.0.2,50085,80,TCP,SYN
  172.16.0.77,10.0.0.2,50086,80,TCP,SYN
  172.16.0.77,10.0.0.2,50087,80,TCP,SYN
  172.16.0.77,10.0.0.2,50088,80,TCP,SYN
  172.16.0.77,10.0.0.2,50089,80,TCP,SYN
  172.16.0.77,10.0.0.2,50090,80,TCP,SYN
  172.16.0.77,10.0.0.2,50091,80,TCP,SYN
  172.16.0.77,10.0.0.2,50092,80,TCP,SYN
  172.16.0.77,10.0.0.2,50093,80,TCP,SYN
  172.16.0.77,10.0.0.2,50094,80,TCP,SYN
  172.16.0.77,10.0.0.2,50095,80,TCP,SYN
  172.16.0.77,10.0.0.2,50096,80,TCP,SYN
  172.16.0.77,10.0.0.2,50097,80,TCP,SYN
  172.16.0.77,10.0.0.2,50098,80,TCP,SYN
  172.16.0.77,10.0.0.2,50099,80,TCP,SYN
  172.16.0.77,10.0.0.2,50100,80,TCP,SYN
  172.16.0.77,10.0.0.2,50101,80,TCP,SYN
  172.16.0.77,10.0.0.2,50102,80,TCP,SYN
  172.16.0.77,10.0.0.2,50103,80,TCP,SYN
  172.16.0.77,10.0.0.2,50104,80,TCP,SYN
  172.16.0.77,10.0.0.2,50105,80,TCP,SYN
  172.16.0.77,10.0.0.2,50106,80,TCP,SYN
  172.16.0.77,10.0.0.2,50107,80,TCP,SYN
  172.16.0.77,10.0.0.2,50108,80,TCP,SYN
  172.16.0.77,10.0.0.2,50109,80,TCP,SYN
  192.168.99.1,10.0.0.1,not_a_port,80,TCP,SYN
  192.168.1.10,10.0.0.1,52101,80,TCP,ACK
  192.168.1.10,10.0.0.1,52102,443,TCP,SYN
  192.168.1.20,10.0.0.1,48200,53,UDP
